ano,sexo,idade,exp,obt,mx,obtIbnr,mxIbnr,obtNatural,obtAcidental
2010,F,0,0.0,0,0.0,0,0.0,0,0
2010,F,1,0.0,0,0.0,0,0.0,0,0
2010,F,2,0.0,0,0.0,0,0.0,0,0
2010,F,3,0.0,0,0.0,0,0.0,0,0
2010,F,4,0.0,0,0.0,0,0.0,0,0
2010,F,5,0.0,0,0.0,0,0.0,0,0
2010,F,6,0.0,0,0.0,0,0.0,0,0
2010,F,7,0.0,0,0.0,0,0.0,0,0
2010,F,8,0.0,0,0.0,0,0.0,0,0
2010,F,9,0.0,0,0.0,0,0.0,0,0
2010,F,10,0.0,0,0.0,0,0.0,0,0
2010,F,11,0.0,0,0.0,0,0.0,0,0
2010,F,12,0.0,0,0.0,0,0.0,0,0
2010,F,13,0.0,0,0.0,0,0.0,0,0
2010,F,14,0.0,0,0.0,0,0.0,0,0
2010,F,15,0.0,0,0.0,0,0.0,0,0
2010,F,16,0.0,0,0.0,0,0.0,0,0
2010,F,17,0.0,0,0.0,0,0.0,0,0
2010,F,18,0.0,0,0.0,0,0.0,0,0
2010,F,19,0.0,0,0.0,0,0.0,0,0
2010,F,20,0.0,0,0.0,0,0.0,0,0
2010,F,21,0.0,0,0.0,0,0.0,0,0
2010,F,22,0.0,0,0.0,0,0.0,0,0
2010,F,23,0.0,0,0.0,0,0.0,0,0
2010,F,24,0.0,0,0.0,0,0.0,0,0
2010,F,25,0.0,0,0.0,0,0.0,0,0
2010,F,26,0.0,0,0.0,0,0.0,0,0
2010,F,27,0.0,0,0.0,0,0.0,0,0
2010,F,28,0.0,0,0.0,0,0.0,0,0
2010,F,29,0.0,0,0.0,0,0.0,0,0
2010,F,30,0.0,0,0.0,0,0.0,0,0
2010,F,31,0.20821917808219179,0,0.0,0,0.0,0,0
2010,F,32,0.79178082191780819,0,0.0,0,0.0,0,0
2010,F,33,0.0,0,0.0,0,0.0,0,0
2010,F,34,0.9726027397260274,0,0.0,0,0.0,0,0
2010,F,35,0.0273972602739726,0,0.0,0,0.0,0,0
2010,F,36,0.0,0,0.0,0,0.0,0,0
2010,F,37,0.0,0,0.0,0,0.0,0,0
2010,F,38,4.8767123287671232,0,0.0,0,0.0,0,0
2010,F,39,0.12328767123287671,0,0.0,0,0.0,0,0
2010,F,40,0.0,0,0.0,0,0.0,0,0
2010,F,41,0.61643835616438358,0,0.0,0,0.0,0,0
2010,F,42,0.75616438356164384,0,0.0,0,0.0,0,0
2010,F,43,3.6273972602739728,0,0.0,0,0.0,0,0
2010,F,44,3.8493150684931505,0,0.0,0,0.0,0,0
2010,F,45,7.764383561643835,0,0.0,0,0.0,0,0
2010,F,46,0.38630136986301367,0,0.0,0,0.0,0,0
2010,F,47,0.0,0,0.0,0,0.0,0,0
2010,F,48,0.0,0,0.0,0,0.0,0,0
2010,F,49,0.0,0,0.0,0,0.0,0,0
2010,F,50,0.0,0,0.0,0,0.0,0,0
2010,F,51,0.0,0,0.0,0,0.0,0,0
2010,F,52,0.0,0,0.0,0,0.0,0,0
2010,F,53,0.0,0,0.0,0,0.0,0,0
2010,F,54,7.4958904109589044,0,0.0,0,0.0,0,0
2010,F,55,3.7232876712328768,0,0.0,0,0.0,0,0
2010,F,56,6.7808219178082192,0,0.0,0,0.0,0,0
2010,F,57,0.0,0,0.0,0,0.0,0,0
2010,F,58,0.0,0,0.0,0,0.0,0,0
2010,F,59,0.0,0,0.0,0,0.0,0,0
2010,F,60,0.0,0,0.0,0,0.0,0,0
2010,F,61,0.49041095890410957,0,0.0,0,0.0,0,0
2010,F,62,0.50958904109589043,0,0.0,0,0.0,0,0
2010,F,63,0.0,0,0.0,0,0.0,0,0
2010,F,64,0.0,0,0.0,0,0.0,0,0
2010,F,65,0.0,0,0.0,0,0.0,0,0
2010,F,66,0.0,0,0.0,0,0.0,0,0
2010,F,67,0.0,0,0.0,0,0.0,0,0
2010,F,68,0.0,0,0.0,0,0.0,0,0
2010,F,69,0.0,0,0.0,0,0.0,0,0
2010,F,70,0.0,0,0.0,0,0.0,0,0
2010,F,71,0.0,0,0.0,0,0.0,0,0
2010,F,72,0.0,0,0.0,0,0.0,0,0
2010,F,73,0.0,0,0.0,0,0.0,0,0
2010,F,74,0.0,0,0.0,0,0.0,0,0
2010,F,75,0.0,0,0.0,0,0.0,0,0
2010,F,76,0.0,0,0.0,0,0.0,0,0
2010,F,77,0.0,0,0.0,0,0.0,0,0
2010,F,78,0.0,0,0.0,0,0.0,0,0
2010,F,79,0.0,0,0.0,0,0.0,0,0
2010,F,80,0.0,0,0.0,0,0.0,0,0
2010,F,81,0.0,0,0.0,0,0.0,0,0
2010,F,82,0.0,0,0.0,0,0.0,0,0
2010,F,83,0.0,0,0.0,0,0.0,0,0
2010,F,84,0.0,0,0.0,0,0.0,0,0
2010,F,85,0.0,0,0.0,0,0.0,0,0
2010,F,86,0.0,0,0.0,0,0.0,0,0
2010,F,87,0.0,0,0.0,0,0.0,0,0
2010,F,88,0.0,0,0.0,0,0.0,0,0
2010,F,89,0.0,0,0.0,0,0.0,0,0
2010,F,90,0.0,0,0.0,0,0.0,0,0
2010,F,91,0.0,0,0.0,0,0.0,0,0
2010,F,92,0.0,0,0.0,0,0.0,0,0
2010,F,93,0.0,0,0.0,0,0.0,0,0
2010,F,94,0.0,0,0.0,0,0.0,0,0
2010,F,95,0.0,0,0.0,0,0.0,0,0
2010,F,96,0.0,0,0.0,0,0.0,0,0
2010,F,97,0.0,0,0.0,0,0.0,0,0
2010,F,98,0.0,0,0.0,0,0.0,0,0
2010,F,99,0.0,0,0.0,0,0.0,0,0
2010,F,100,0.0,0,0.0,0,0.0,0,0
2010,F,101,0.0,0,0.0,0,0.0,0,0
2010,F,102,0.0,0,0.0,0,0.0,0,0
2010,F,103,0.0,0,0.0,0,0.0,0,0
2010,F,104,0.0,0,0.0,0,0.0,0,0
2010,F,105,0.0,0,0.0,0,0.0,0,0
2010,F,106,0.0,0,0.0,0,0.0,0,0
2010,F,107,0.0,0,0.0,0,0.0,0,0
2010,F,108,0.0,0,0.0,0,0.0,0,0
2010,F,109,0.0,0,0.0,0,0.0,0,0
2010,F,110,0.0,0,0.0,0,0.0,0,0
2010,M,0,0.0,0,0.0,0,0.0,0,0
2010,M,1,0.0,0,0.0,0,0.0,0,0
2010,M,2,0.0,0,0.0,0,0.0,0,0
2010,M,3,0.0,0,0.0,0,0.0,0,0
2010,M,4,0.0,0,0.0,0,0.0,0,0
2010,M,5,0.0,0,0.0,0,0.0,0,0
2010,M,6,0.0,0,0.0,0,0.0,0,0
2010,M,7,0.0,0,0.0,0,0.0,0,0
2010,M,8,0.0,0,0.0,0,0.0,0,0
2010,M,9,0.0,0,0.0,0,0.0,0,0
2010,M,10,0.0,0,0.0,0,0.0,0,0
2010,M,11,0.0,0,0.0,0,0.0,0,0
2010,M,12,0.0,0,0.0,0,0.0,0,0
2010,M,13,0.0,0,0.0,0,0.0,0,0
2010,M,14,0.0,0,0.0,0,0.0,0,0
2010,M,15,0.0,0,0.0,0,0.0,0,0
2010,M,16,0.0,0,0.0,0,0.0,0,0
2010,M,17,0.0,0,0.0,0,0.0,0,0
2010,M,18,0.0,0,0.0,0,0.0,0,0
2010,M,19,0.0,0,0.0,0,0.0,0,0
2010,M,20,0.0,0,0.0,0,0.0,0,0
2010,M,21,0.90410958904109584,0,0.0,0,0.0,0,0
2010,M,22,2.095890410958904,0,0.0,0,0.0,0,0
2010,M,23,0.0,0,0.0,0,0.0,0,0
2010,M,24,5.6219178082191785,0,0.0,0,0.0,0,0
2010,M,25,0.378082191780822,0,0.0,0,0.0,0,0
2010,M,26,0.0,0,0.0,0,0.0,0,0
2010,M,27,0.0,0,0.0,0,0.0,0,0
2010,M,28,0.0,0,0.0,0,0.0,0,0
2010,M,29,0.0,0,0.0,0,0.0,0,0
2010,M,30,0.0,0,0.0,0,0.0,0,0
2010,M,31,0.0,0,0.0,0,0.0,0,0
2010,M,32,0.0,0,0.0,0,0.0,0,0
2010,M,33,0.0,0,0.0,0,0.0,0,0
2010,M,34,0.0,0,0.0,0,0.0,0,0
2010,M,35,0.0,0,0.0,0,0.0,0,0
2010,M,36,0.0,0,0.0,0,0.0,0,0
2010,M,37,0.0,0,0.0,0,0.0,0,0
2010,M,38,0.0,0,0.0,0,0.0,0,0
2010,M,39,0.0,0,0.0,0,0.0,0,0
2010,M,40,0.0,0,0.0,0,0.0,0,0
2010,M,41,0.0,0,0.0,0,0.0,0,0
2010,M,42,0.0,0,0.0,0,0.0,0,0
2010,M,43,0.0,0,0.0,0,0.0,0,0
2010,M,44,0.0,0,0.0,0,0.0,0,0
2010,M,45,0.0,0,0.0,0,0.0,0,0
2010,M,46,0.95342465753424666,0,0.0,0,0.0,0,0
2010,M,47,2.0465753424657533,0,0.0,0,0.0,0,0
2010,M,48,0.0,0,0.0,0,0.0,0,0
2010,M,49,0.0,0,0.0,0,0.0,0,0
2010,M,50,0.0,0,0.0,0,0.0,0,0
2010,M,51,0.0,0,0.0,0,0.0,0,0
2010,M,52,0.0,0,0.0,0,0.0,0,0
2010,M,53,0.0,0,0.0,0,0.0,0,0
2010,M,54,0.0,0,0.0,0,0.0,0,0
2010,M,55,0.873972602739726,0,0.0,0,0.0,0,0
2010,M,56,7.2986301369863025,0,0.0,0,0.0,0,0
2010,M,57,5.7698630136986289,0,0.0,0,0.0,0,0
2010,M,58,1.7397260273972603,0,0.0,0,0.0,0,0
2010,M,59,0.31780821917808222,0,0.0,0,0.0,0,0
2010,M,60,0.36986301369863012,0,0.0,0,0.0,0,0
2010,M,61,0.63013698630136983,0,0.0,0,0.0,0,0
2010,M,62,0.0,0,0.0,0,0.0,0,0
2010,M,63,0.33972602739726027,0,0.0,0,0.0,0,0
2010,M,64,0.66027397260273968,0,0.0,0,0.0,0,0
2010,M,65,1.6465753424657534,0,0.0,0,0.0,0,0
2010,M,66,5.1369863013698618,0,0.0,0,0.0,0,0
2010,M,67,4.2164383561643834,0,0.0,0,0.0,0,0
2010,M,68,0.0,0,0.0,0,0.0,0,0
2010,M,69,0.0,0,0.0,0,0.0,0,0
2010,M,70,0.0,0,0.0,0,0.0,0,0
2010,M,71,0.0,0,0.0,0,0.0,0,0
2010,M,72,0.0,0,0.0,0,0.0,0,0
2010,M,73,0.0,0,0.0,0,0.0,0,0
